Start Time:  8/4/2017 2:47:36 PM          Time Completed:  8/4/2017 3:06:42 PM      Elapsed Time:  00:19:08
Sample ID:     3-112 C+D

Experiment:    C:\IDEASVSM\Default UserID\Experiments\mf_25_Oe\mf_25_Oe.exp
Data File:     C:\IDEASVSM\Default UserID\3-112 C+D (ProfileData)\3-112 C+D#2.txt
Plot File:     C:\IDEASVSM\Default UserID\3-112 C+D (ProfileData)\3-112 C+D#2.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\mf_25_Oe\mf_25_Oe.stp
VSM Data File: C:\IDEASVSM\Default UserID\3-112 C+D (ProfileData)\3-112 C+D#2.dat

***DATA***

Field(G)	 Moment(emu)	
 25 	 0.0077745 	
 23.995 	 0.0075608 	
 23 	 0.0073654 	
 21.996 	 0.0071582 	
 20.999 	 0.0069458 	
 20.002 	 0.0067148 	
 19.007 	 0.0064863 	
 17.998 	 0.0062363 	
 17.002 	 0.0059818 	
 16 	 0.0057151 	
 14.999 	 0.0054289 	
 14.002 	 0.0051424 	
 12.996 	 0.0048421 	
 12.004 	 0.0045438 	
 10.998 	 0.0042158 	
 9.9921 	 0.0038836 	
 8.9958 	 0.0035508 	
 8.0023 	 0.0031895 	
 6.9953 	 0.0028429 	
 6.0024 	 0.0024888 	
 4.9986 	 0.0020802 	
 4.0014 	 0.0017212 	
 2.9943 	 0.0013304 	
 2.0012 	 0.00094059 	
 0.99381 	 0.00053519 	
 0.0044537 	 0.00014711 	
-1.0008 	-0.00025621 	
-2.0128 	-0.00064622 	
-3.0026 	-0.0010464 	
-3.9992 	-0.0014465 	
-5.0054 	-0.0018137 	
-6.0047 	-0.0021938 	
-7 	-0.0025652 	
-8 	-0.002919 	
-8.9994 	-0.0032701 	
-10.03 	-0.0036289 	
-10.999 	-0.0039514 	
-11.998 	-0.0042697 	
-13.001 	-0.0045831 	
-14.022 	-0.0048872 	
-14.998 	-0.0051728 	
-15.996 	-0.0054578 	
-17.005 	-0.0057244 	
-18 	-0.005981 	
-19.001 	-0.0062247 	
-20.008 	-0.0064676 	
-21.001 	-0.0067035 	
-22.003 	-0.0069134 	
-23 	-0.0071498 	
-24.025 	-0.0073553 	
-25.003 	-0.0075382 	
-23.997 	-0.0073422 	
-23.007 	-0.0071576 	
-21.992 	-0.0069203 	
-20.999 	-0.0067024 	
-20.006 	-0.0064862 	
-18.996 	-0.0062276 	
-18.005 	-0.005986 	
-17.006 	-0.0057306 	
-16 	-0.005448 	
-15.001 	-0.0051696 	
-13.995 	-0.0048784 	
-12.997 	-0.0045709 	
-12.006 	-0.004265 	
-10.997 	-0.0039443 	
-9.9957 	-0.003607 	
-8.9959 	-0.0032764 	
-8.0049 	-0.0029233 	
-7.0005 	-0.0025771 	
-6.0003 	-0.0021784 	
-5.0043 	-0.0018029 	
-4.0064 	-0.0014244 	
-3.0025 	-0.0010397 	
-1.9992 	-0.00063946 	
-0.99947 	-0.00023635 	
 0.0050227 	 0.00016579 	
 0.99953 	 0.00055819 	
 2.0018 	 0.00097296 	
 2.9956 	 0.0013632 	
 4.0001 	 0.0017534 	
 5.0031 	 0.0021346 	
 5.9953 	 0.0025096 	
 6.9984 	 0.002885 	
 8.002 	 0.0032474 	
 9.0033 	 0.0036041 	
 10.003 	 0.0039447 	
 11.002 	 0.0042841 	
 12 	 0.0046243 	
 13.002 	 0.0049159 	
 14.001 	 0.0052237 	
 14.999 	 0.0055109 	
 16.007 	 0.0058086 	
 16.999 	 0.0060565 	
 17.997 	 0.006331 	
 19 	 0.0065836 	
 19.999 	 0.0068208 	
 20.999 	 0.0070493 	
 22 	 0.0072709 	
 23.002 	 0.0074914 	
 23.999 	 0.0076951 	
 25.002 	 0.0079043 	

	
	
