Start Time:  8/4/2017 2:33:05 PM          Time Completed:  8/4/2017 2:47:34 PM      Elapsed Time:  00:14:28
Sample ID:     3-112 C+D

Experiment:    C:\IDEASVSM\Default UserID\Experiments\mf2kOe\mf2kOe.exp
Data File:     C:\IDEASVSM\Default UserID\3-112 C+D (ProfileData)\3-112 C+D#1.txt
Plot File:     C:\IDEASVSM\Default UserID\3-112 C+D (ProfileData)\3-112 C+D#1.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\mf2kOe\mf2kOe.stp
VSM Data File: C:\IDEASVSM\Default UserID\3-112 C+D (ProfileData)\3-112 C+D#1.dat

***DATA***

Field(G)	 Moment(emu)	
 2001.1 	 0.014839 	
 1891.8 	 0.014829 	
 1783.6 	 0.014834 	
 1675.4 	 0.014792 	
 1567.3 	 0.014798 	
 1459.2 	 0.014762 	
 1351.2 	 0.014756 	
 1243 	 0.014708 	
 1134.9 	 0.014682 	
 1026.8 	 0.014651 	
 918.68 	 0.01461 	
 810.57 	 0.014561 	
 702.45 	 0.01451 	
 594.38 	 0.014438 	
 486.23 	 0.014334 	
 378.14 	 0.014203 	
 270.02 	 0.013948 	
 161.91 	 0.013355 	
 53.791 	 0.010717 	
-54.318 	-0.010845 	
-162.41 	-0.013217 	
-270.57 	-0.013799 	
-378.66 	-0.014024 	
-486.79 	-0.014191 	
-594.88 	-0.014289 	
-703.08 	-0.014357 	
-811.11 	-0.014435 	
-919.24 	-0.014483 	
-1027.3 	-0.014523 	
-1135.5 	-0.014552 	
-1243.5 	-0.01458 	
-1351.6 	-0.014625 	
-1459.8 	-0.014653 	
-1567.9 	-0.014681 	
-1676 	-0.014712 	
-1784.1 	-0.014738 	
-1892.2 	-0.014753 	
-2000.3 	-0.014793 	
-1891.7 	-0.014764 	
-1783.6 	-0.014745 	
-1675.4 	-0.014728 	
-1567.3 	-0.014699 	
-1459.2 	-0.014664 	
-1351.1 	-0.014657 	
-1243 	-0.014627 	
-1134.9 	-0.014597 	
-1026.7 	-0.014559 	
-918.62 	-0.014519 	
-810.53 	-0.014477 	
-702.41 	-0.014426 	
-594.31 	-0.014349 	
-486.21 	-0.014259 	
-378.09 	-0.014111 	
-269.92 	-0.01385 	
-161.87 	-0.0133 	
-53.773 	-0.010874 	
 54.356 	 0.010874 	
 162.45 	 0.013473 	
 270.59 	 0.014075 	
 378.65 	 0.014351 	
 486.78 	 0.014484 	
 594.87 	 0.014597 	
 703.07 	 0.014679 	
 811.09 	 0.014739 	
 919.23 	 0.014784 	
 1027.3 	 0.014835 	
 1135.4 	 0.014857 	
 1243.5 	 0.014907 	
 1351.7 	 0.014957 	
 1459.8 	 0.014971 	
 1567.9 	 0.015001 	
 1676 	 0.015021 	
 1784.1 	 0.01505 	
 1892.2 	 0.015074 	
 2000.3 	 0.015104 	

	
	
