"range","field","moment","reciprocal","norm","magnetization"
2.5,0.50031,1.95155,1.99876076832364,0.130551560357226,48.1064169200265
2.5,0.59953,2.32655,1.66797324570914,0.155637689400274,57.3503032385988
2.5,0.69984,2.70195,1.42889803383631,0.180750576980968,66.6040497025777
2.5,0.8002,3.06435,1.24968757810547,0.204993812088169,75.537341440846
2.5,0.90033,3.42105,1.11070385303167,0.228855738033916,84.330126107072
2.5,1.0003,3.76165,0.999700089973008,0.251640632839415,92.7260399206874
2.5,1.1002,4.10105,0.90892564988184,0.274345252031976,101.092373298083
2.5,1.2,4.44125,0.833333333333333,0.29710338829983,109.478426966292
2.5,1.3002,4.73285,0.769112444239348,0.316610362243703,116.666472967614
2.5,1.4001,5.04065,0.714234697521606,0.337201056962237,124.253854857898
2.5,1.4999,5.32785,0.666711114074272,0.356413686992006,131.333439259749
2.5,1.6007,5.62555,0.624726682076591,0.37632872863498,138.671852478519
2.5,1.6999,5.87345,0.588269898229308,0.392912332341038,144.782677594184
2.5,1.7997,6.14795,0.555648163582819,0.411275378800549,151.549202379379
2.5,1.9,6.40055,0.526315789473684,0.428173395323945,157.775884203569
2.5,1.9999,6.63775,0.500025001250063,0.444041208147975,163.62295042961
2.5,2.0999,6.86625,0.476213153007286,0.459327022778205,169.25555849306
2.5,2.2,7.08785,0.454545454545455,0.474151252634043,174.718079048249
2.5,2.3002,7.30835,0.434744804799583,0.488901896511356,180.153484203569
2.5,2.3999,7.51205,0.416684028501188,0.502528681807539,185.174763251818
2.5,2.5002,7.72125,0.399968002559795,0.516523396996354,190.331619299405
20,20.026,13.8005,0.0499350843902926,0.923202996956216,340.187341705221
20,19.354,13.7705,0.0516689056525783,0.921196106632773,339.447830799736
20,18.71,13.7155,0.0534473543559594,0.917516807706459,338.092060806345
20,18.065,13.6815,0.0553556601162469,0.915242332006556,337.253948446794
20,17.419,13.6275,0.0574085768413801,0.911629929424357,335.92282881692
20,16.774,13.5795,0.0596160724931441,0.908418904906847,334.739611368143
20,16.129,13.5335,0.062000124000248,0.905341673077566,333.605694646398
20,15.482,13.4735,0.0645911380958532,0.901327892430678,332.126672835426
20,14.837,13.4035,0.0673990698928355,0.896645148342643,330.401147389293
20,14.194,13.3305,0.0704523037903339,0.891761715222263,328.601670852611
20,13.549,13.2625,0.0738061849582995,0.887212763822457,326.92544613351
20,12.903,13.1655,0.0775013562737348,0.880723818443322,324.534360872439
20,12.255,13.0785,0.0815993472052224,0.874903836505335,322.38977924653
20,11.612,12.9955,0.0861178091629349,0.869351439943807,320.343799074686
20,10.967,12.8905,0.0911826388255676,0.862327323811754,317.755510905486
20,10.322,12.7365,0.0968804495252858,0.852025286818075,313.959354923992
20,9.6772,12.6025,0.103335675608647,0.843061176706693,310.656206212822
20,9.0298,12.4565,0.110744424018251,0.833294310465933,307.057253139458
20,8.3823,12.2565,0.119298999081398,0.819915041642974,302.127180436219
20,7.7417,12.0785,0.129170595605616,0.808007492390541,297.739415730337
20,7.0965,11.8595,0.14091453533432,0.793357193029401,292.340986120291
20,6.4516,11.5815,0.15500031000062,0.774760009365488,285.488185062789
20,5.8031,11.2395,0.172321690131137,0.751881459678229,277.057760740251
20,5.1605,10.8445,0.193779672512353,0.725457403752885,267.320867151355
20,4.514,10.3545,0.221533008418254,0.692678195136636,255.24218902842
20,3.8684,9.7272,0.258504808189432,0.650714118473426,239.779015994712
20,3.2246,8.9259,0.310115983377783,0.597110077934241,220.026679709187
20,2.5771,7.8606,0.388033060416747,0.525845402548751,193.766647455387
20,1.933,6.489,0.517330574236937,0.434090376960899,159.956208856576
20,1.2855,4.696,0.777907429015947,0.314145231963073,115.758107072042
20,0.64073,2.4888,1.56071980397359,0.1664916212329,61.3498247191011
20,-0.0022426,-0.0155600000000004,-445.910996165165,-0.00104090711442628,-0.383559656311973
20,-0.6476,-2.5639,-1.54416306361952,-0.171515536675921,-63.2010670191672
20,-1.2918,-4.7693,-0.774113639882335,-0.319048733986688,-117.564978717779
20,-1.9386,-6.5503,-0.515836170432271,-0.438191122855136,-161.467276140119
20,-2.5828,-7.9123,-0.38717670744928,-0.529303943539486,-195.041071249174
20,-3.2302,-8.9797,-0.309578354281469,-0.600709101247617,-221.352869266358
20,-3.8754,-9.7807,-0.258037879960778,-0.654293072883567,-241.097810442829
20,-4.5174,-10.4045,-0.221366272634701,-0.696023012342376,-256.47470720423
20,-5.1643,-10.9015,-0.193637085374591,-0.729270495367428,-268.725937871778
20,-5.8112,-11.3115,-0.172081497797357,-0.756697996454494,-278.832586913417
20,-6.4562,-11.6345,-0.154889873300084,-0.778305515603572,-286.794654329147
20,-7.1019,-11.9105,-0.140807389571805,-0.796768906579256,-293.598154659617
20,-7.7457,-12.1465,-0.129103889900203,-0.812556443790347,-299.415640449438
20,-8.3913,-12.3395,-0.119171046202615,-0.825467438204502,-304.173160608063
20,-9.0363,-12.5055,-0.110664763232739,-0.836572231327558,-308.265120951752
20,-9.6819,-12.6655,-0.103285512141212,-0.847275646385925,-312.209179114342
20,-10.322,-12.8155,-0.0968804495252858,-0.857310098003144,-315.906733641771
20,-10.971,-12.9405,-0.0911493938565309,-0.865672141017493,-318.988029081295
20,-11.616,-13.0395,-0.0860881542699725,-0.872294879084858,-321.428415069399
20,-12.262,-13.1345,-0.0815527646387213,-0.878650031775764,-323.770199603437
20,-12.908,-13.2425,-0.0774713356058258,-0.885874836940161,-326.432438863186
20,-13.553,-13.3305,-0.073784401977422,-0.891761715222263,-328.601670852611
20,-14.194,-13.4025,-0.0704523037903339,-0.896578251998528,-330.376497025777
20,-14.842,-13.4735,-0.0673763643713785,-0.901327892430679,-332.126672835426
20,-15.486,-13.5425,-0.0645744543458608,-0.9059437401746,-333.827547918044
20,-16.134,-13.5945,-0.061980909879757,-0.909422350068569,-335.109366820886
20,-16.778,-13.6585,-0.0596018595780188,-0.913703716091916,-336.686990085922
20,-17.42,-13.7225,-0.0574052812858783,-0.917985082115262,-338.264613350958
20,-18.068,-13.7575,-0.0553464688952845,-0.92032645415928,-339.127376074025
20,-18.711,-13.8205,-0.0534444978889423,-0.924540923838512,-340.680348975545
20,-19.356,-13.8505,-0.0516635668526555,-0.926547814161956,-341.419859881031
20,-20.005,-13.8885,-0.0499875031242189,-0.929089875238318,-342.356573694646
20,-19.354,-13.8585,-0.0516689056525783,-0.927082984914875,-341.617062789161
20,-18.709,-13.8185,-0.053450211128334,-0.924407131150283,-340.631048248513
20,-18.064,-13.7725,-0.0553587245349867,-0.921329899321002,-339.497131526768
20,-17.417,-13.6995,-0.057415169087673,-0.916446466200622,-337.697654990086
20,-16.775,-13.6705,-0.0596125186289121,-0.914506472221293,-336.982794448116
20,-16.125,-13.6095,-0.062015503875969,-0.910425795230291,-335.479122273629
20,-15.484,-13.5615,-0.0645827951433738,-0.907214770712781,-334.295904824851
20,-14.838,-13.4945,-0.0673945275643618,-0.902732715657089,-332.644330469266
20,-14.19,-13.4155,-0.0704721634954193,-0.897447904472021,-330.696951751487
20,-13.549,-13.3465,-0.0738061849582995,-0.8928320567281,-328.99607666887
20,-12.901,-13.2535,-0.0775133710565073,-0.886610696725424,-326.703592861864
20,-12.257,-13.1505,-0.0815860324712409,-0.8797203732816,-324.164605419696
20,-11.61,-13.0665,-0.0861326442721792,-0.874101080375957,-322.093974884336
20,-10.964,-12.9605,-0.0912075884713608,-0.867010067899789,-319.481036351619
20,-10.322,-12.8215,-0.0968804495252858,-0.857711476067833,-316.054635822868
20,-9.6732,-12.6865,-0.103378406318488,-0.848680469612336,-312.726836748182
20,-9.0307,-12.5265,-0.110733387223582,-0.837977054553969,-308.782778585592
20,-8.383,-12.3475,-0.119289037337469,-0.826002608957421,-304.370363516193
20,-7.7419,-12.1455,-0.129167258683269,-0.812489547446232,-299.390990085922
20,-7.0944,-11.9165,-0.140956247180875,-0.797170284643944,-293.746056840714
20,-6.452,-11.6405,-0.154990700557967,-0.778706893668261,-286.942556510245
20,-5.806,-11.3015,-0.17223561832587,-0.756029033013346,-278.586083278255
20,-5.1576,-10.9155,-0.193888630370715,-0.730207044185035,-269.071042961005
20,-4.5152,-10.4105,-0.221474131821403,-0.696424390407064,-256.622609385327
20,-3.8672,-9.7875,-0.258585022755482,-0.654747968023548,-241.265432914739
20,-3.2223,-8.9808,-0.310337336684977,-0.600782687226143,-221.379984666226
20,-2.578,-7.9236,-0.387897595034911,-0.530059872227983,-195.319620356907
20,-1.9347,-6.5278,-0.516876001447253,-0.436685955112553,-160.912642961005
20,-1.2892,-4.7574,-0.775674837108284,-0.318252667491722,-117.271639391937
20,-0.64511,-2.5521,-1.55012323479717,-0.170726159815366,-62.9101927296762
20,0.00060571,-0.00862000000000042,1650.95507751234,-0.000576646486269539,-0.212486133509594
20,0.64612,2.5228,1.54770011762521,0.168766096932803,62.1879370786517
20,1.2909,4.7323,0.774653342629173,0.31657356925444,116.65291526768
20,1.9354,6.5129,0.516689056525783,0.435689199585243,160.545352544613
20,2.5805,7.8944,0.387521798101143,0.528106498979831,194.599829742234
20,3.2069,8.9189,0.311827621690729,0.596641803525437,219.854127164574
20,3.8733,9.7588,0.258177781220148,0.652828042947453,240.557967481824
20,4.5167,10.3925,0.22140058006952,0.695220256212998,256.178902842036
20,5.163,10.8815,0.193685841564982,0.727932568485132,268.232930601454
20,5.8108,11.2845,0.172093343429476,0.754891795163394,278.16702709848
20,6.4533,11.6055,0.154959478096478,0.776365521624243,286.079793787178
20,7.1005,11.8935,0.140835152454053,0.795631668729304,293.179098479841
20,7.7427,12.1285,0.129153912717786,0.81135230959628,298.971933906147
20,8.3875,12.3255,0.119225037257824,0.824530889386895,303.828055518837
20,9.0327,12.5075,0.110708868887487,0.836706024015788,308.314421678784
20,9.6772,12.6645,0.103335675608647,0.84720875004181,312.184528750826
20,10.326,12.8025,0.0968429207824908,0.856440445529652,315.586278916061
20,10.969,12.9295,0.0911660133102379,0.864936281232231,318.716875082617
20,11.614,13.0305,0.086102979163079,0.871692811987825,321.206561797753
20,12.259,13.1305,0.0815727220817359,0.878382446399304,323.671598149372
20,12.907,13.2385,0.0774773378786705,0.885607251563702,326.333837409121
20,13.552,13.3455,0.0737898465171192,0.892765160383985,328.971426305354
20,14.194,13.3995,0.0704523037903339,0.896377562966184,330.302545935228
20,14.843,13.4755,0.067371825102742,0.901461685118908,332.175973562459
20,15.484,13.5385,0.0645827951433738,0.90567615479814,333.728946463979
20,16.132,13.6015,0.0619885940986858,0.909890624477372,335.281919365499
20,16.777,13.6695,0.0596054121714252,0.914439575877178,336.9581440846
20,17.42,13.7195,0.0574052812858783,0.917784393082918,338.19066226041
20,18.068,13.7605,0.0553464688952845,0.920527143191625,339.201327164574
20,18.712,13.8095,0.0534416417272339,0.923805064053249,340.409194976867
20,19.354,13.8585,0.0516689056525783,0.927082984914875,341.617062789161
20,20.001,13.8885,0.0499975001249937,0.929089875238318,342.356573694646
